DEBUG 2019-01-09 17:10:10,164 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - lygwys.BookList.Sessions.Dto.TenantLoginInfoDto
DEBUG 2019-01-09 17:10:10,165 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - lygwys.BookList.Sessions.Dto.UserLoginInfoDto
DEBUG 2019-01-09 17:10:10,165 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - lygwys.BookList.Roles.Dto.CreateRoleDto
DEBUG 2019-01-09 17:10:10,165 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - lygwys.BookList.Roles.Dto.PermissionDto
DEBUG 2019-01-09 17:10:10,165 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - lygwys.BookList.Roles.Dto.RoleDto
DEBUG 2019-01-09 17:10:10,166 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - lygwys.BookList.MultiTenancy.Dto.CreateTenantDto
DEBUG 2019-01-09 17:10:10,166 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - lygwys.BookList.MultiTenancy.Dto.TenantDto
INFO  2019-01-09 17:10:23,825 [7    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/  
INFO  2019-01-09 17:10:23,825 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 DEBUG http://localhost:21021/  0
INFO  2019-01-09 17:10:24,008 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 197.2744ms 200 
INFO  2019-01-09 17:10:34,701 [7    ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Index", controller = "Home", area = ""}. Executing action lygwys.BookList.Web.Host.Controllers.HomeController.Index (lygwys.BookList.Web.Host)
INFO  2019-01-09 17:10:37,969 [7    ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method lygwys.BookList.Web.Host.Controllers.HomeController.Index (lygwys.BookList.Web.Host) - Validation state: Valid
INFO  2019-01-09 17:10:37,983 [7    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method lygwys.BookList.Web.Host.Controllers.HomeController.Index (lygwys.BookList.Web.Host), returned result Microsoft.AspNetCore.Mvc.RedirectResult in 3.5609ms.
INFO  2019-01-09 17:10:38,217 [6    ] vc.Infrastructure.RedirectResultExecutor - Executing RedirectResult, redirecting to /swagger.
INFO  2019-01-09 17:10:38,246 [6    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action lygwys.BookList.Web.Host.Controllers.HomeController.Index (lygwys.BookList.Web.Host) in 3533.683ms
INFO  2019-01-09 17:10:38,286 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger  
INFO  2019-01-09 17:10:38,294 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 14489.1947ms 302 
INFO  2019-01-09 17:10:38,313 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 29.5033ms 301 
INFO  2019-01-09 17:10:38,324 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/index.html  
INFO  2019-01-09 17:10:38,383 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 58.7723ms 200 text/html
INFO  2019-01-09 17:10:38,461 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/ui/abp.js  
INFO  2019-01-09 17:10:38,470 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/swagger-ui.css  
INFO  2019-01-09 17:10:38,493 [11   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/ui/abp.swagger.js  
INFO  2019-01-09 17:10:38,500 [7    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/swagger-ui-bundle.js  
INFO  2019-01-09 17:10:38,511 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/swagger-ui-standalone-preset.js  
